ID,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,bedrooms
f9dcbd09-32ac-41d9-a0b1-fdb2793378cf,2.0,1.0,1.0,105,4.6,4.7,4.3,5.0,4.3,4.3,13.0,1.0
1b4736a7-e73e-45bc-a9b5-d3e7fcf652fd,3.0,3.0,0.0,92,4.3,4.7,4.6,4.9,4.7,4.5,8.0,1.0
d577bc30-2222-4bef-a35e-a9825642aec4,4.0,2.0,1.5,52,4.2,4.6,4.8,4.8,4.8,4.7,51.0,1.0
ca9cbfd4-7798-4e8d-8c17-d5a64fba0abc,2.0,1.0,1.0,132,4.8,4.9,4.9,4.9,5.0,4.6,23.0,1.0
cfe479b9-c8f8-44af-9bc6-46ede9f14bb5,4.0,3.0,1.0,143,5.0,4.9,5.0,4.7,5.0,4.7,32.0,2.0
93b1bfb4-67e7-4d70-9d84-b5e24f820d8c,3.0,2.0,1.0,101,4.7,4.7,4.8,4.8,4.7,4.3,6.0,1.0
9033002f-5ff2-45df-af91-ef1594ac353f,6.0,5.0,1.0,94,4.2,4.4,4.6,4.3,4.8,4.3,31.0,2.0
59705407-dc9b-444f-b0b0-afc472ca7c7f,4.0,3.0,1.0,247,4.9,4.8,4.8,4.6,4.9,4.4,24.0,1.0
36dc1670-02ae-483b-9384-9261cc0f5abe,3.0,2.0,1.0,104,4.5,4.7,4.8,4.8,4.8,4.4,10.0,1.0
1e304e46-bf16-4ad4-9a94-844346a8c61e,5.0,4.0,1.0,106,4.3,4.5,4.4,4.8,4.5,4.1,10.0,1.0
02395b8b-2732-43a0-b895-8e5b10da1307,2.0,1.0,1.0,126,5.0,5.0,4.8,5.0,5.0,4.8,8.0,1.0
29b69639-19a7-43e0-8b33-5af8414360e4,5.0,4.0,1.0,214,4.9,4.4,4.3,4.9,4.6,4.3,5.0,1.0
b27a170c-6c82-4767-b438-a492a1604221,5.0,3.0,1.0,110,5.0,4.7,5.0,5.0,4.9,4.7,10.0,1.0
f2eb10f9-bab9-40fc-9f76-7386bf3128e4,2.0,1.0,1.0,85,4.8,4.9,5.0,5.0,4.9,4.5,8.0,1.0
a041e9a9-e3b5-49d1-b18c-b55c7735132d,4.0,1.0,1.0,91,4.3,4.7,5.0,5.0,5.0,4.7,38.0,1.0
6bfda60f-f731-49e5-8f3c-db0d352bfdaa,4.0,2.0,1.0,174,4.9,4.9,4.9,4.9,4.9,4.8,33.0,1.0
835ac009-b615-4046-ab8c-88f42ad340be,2.0,2.0,1.5,139,5.0,5.0,5.0,5.0,5.0,4.9,35.0,1.0
bbd6adc1-95d1-41b5-a7aa-b86f6c11800c,5.0,2.0,1.0,96,5.0,5.0,5.0,5.0,5.0,4.9,12.0,1.0
de5ddea8-742e-4efc-a018-6649d84f1f06,8.0,3.0,1.0,141,4.9,4.9,4.9,4.9,5.0,4.7,15.0,2.0
f725cf62-8ef8-4874-aef8-ade1164b3bba,2.0,1.0,1.0,309,5.0,5.0,5.0,5.0,5.0,4.6,36.0,1.0
a0368dbd-b099-457a-bc5c-774f76e6327f,2.0,1.0,1.0,248,4.9,4.0,4.9,5.0,4.9,4.4,8.0,1.0
f9e0fab9-a179-4d84-a6f8-dde744bba29c,2.0,2.0,1.0,130,4.9,5.0,4.9,4.7,5.0,4.7,13.0,1.0
6612df69-850f-49a4-8293-56862b6ec44d,4.0,1.0,1.0,499,5.0,5.0,5.0,5.0,5.0,5.0,39.0,1.0
79ac0b72-313f-4d5c-9c45-75a3f4738057,4.0,2.0,1.0,670,4.9,5.0,5.0,5.0,4.9,4.8,15.0,1.0
8a40e07f-5d85-4354-8fea-0d7f40786ffb,5.0,4.0,1.0,153,4.9,5.0,4.9,4.9,5.0,4.8,28.0,1.0
0613e7f0-216e-49cf-a87e-4cdf01101f1b,3.0,2.0,1.5,168,4.8,4.9,5.0,4.7,4.7,4.9,50.0,1.0
119b3758-1146-477c-89cd-34b422f04eb7,4.0,4.0,1.0,149,5.0,4.9,5.0,4.9,5.0,4.9,35.0,1.0
080ed89e-3350-4623-b796-ab818c5a7a27,2.0,1.0,1.0,280,5.0,5.0,5.0,5.0,5.0,4.8,36.0,1.0
af58e92d-cf04-4689-b4a1-3a1b1663059b,4.0,2.0,1.0,171,5.0,5.0,5.0,4.8,5.0,4.8,43.0,1.0
151bf7cd-72d2-4cc3-ac9c-621b9339193f,4.0,2.0,1.0,238,4.8,4.8,4.9,4.8,5.0,4.6,28.0,1.0
48743477-060a-41e6-87d5-97f891935ff0,2.0,1.0,1.0,99,5.0,5.0,5.0,5.0,5.0,5.0,16.0,1.0
abf96f14-a5d4-4d4d-9579-faa539bfb39c,2.0,2.0,1.0,142,4.9,4.9,5.0,5.0,5.0,5.0,57.0,1.0
d7be650b-ebd8-468f-98db-046464ea6e1e,2.0,1.0,1.0,413,5.0,4.9,5.0,4.9,5.0,4.8,30.0,1.0
a2d1f72e-8a7a-48d4-8362-88c6cf727f4d,7.0,3.0,1.0,206,4.8,4.9,4.9,4.9,5.0,4.7,25.0,1.0
34ce0098-b845-4e8f-bff8-8094c0769464,4.0,1.0,1.0,123,4.9,4.9,4.9,4.9,5.0,4.7,42.0,1.0
b299ee2a-d31a-4fe0-a115-d4ecdf2695bd,2.0,1.0,1.0,125,5.0,5.0,5.0,4.8,5.0,4.9,17.0,1.0
498caddc-8831-43f9-af17-9ef76b34ab01,2.0,1.0,1.0,130,5.0,5.0,5.0,5.0,5.0,4.9,42.0,1.0
0b9c12c6-4173-473d-928b-33e07e311809,6.0,3.0,1.0,222,4.9,5.0,5.0,5.0,5.0,4.8,28.0,2.0
39bf7b3a-2090-496c-a138-255c4f4d7990,2.0,1.0,1.0,188,5.0,4.9,4.9,5.0,5.0,4.5,22.0,1.0
7db68077-be40-4da6-9c12-f024827ea3f1,2.0,1.0,1.0,54,4.9,4.9,5.0,4.9,4.9,4.8,20.0,1.0
29861139-145b-4573-b029-bf46e635b77e,8.0,4.0,1.0,212,5.0,5.0,5.0,5.0,5.0,4.9,38.0,2.0
